client,year,total,client_clue,lobbyingfirmhired,totalamount,lobbyist,revolvingdoorprofiles,formermembersofcongress,lobby_status,experience,target
Bank of America,2015,2610000,Bank of America,Smith-Free Group,240000, Trevor Kolego ,1,0,1,17,0
Bank of America,2015,2610000,Bank of America,Forbes Tate Partners,80000, Franklyn Steinberg ,0,0,1,17,0
Bank of America,2015,2610000,Bank of America,Forbes Tate Partners,80000, Dan C Jr Tate ,1,0,1,17,0
Bank of America,2015,2610000,Bank of America,Smith-Free Group,240000, Andrew H Barbour ,1,0,1,17,0
Bank of America,2015,2610000,Bank of America,Bank of America,2610000, John E Collingwood ,0,0,1,17,0
Bank of America,2015,2610000,Bank of America,Forbes Tate Partners,80000, Wesley Ryan Welch ,1,0,1,17,0
Bank of America,2015,2610000,Bank of America,Forbes Tate Partners,80000, Libby Greer ,1,0,1,17,0
Bank of America,2015,2610000,Bank of America,Bank of America,2610000, Darrell Minott ,0,0,1,17,0
Bank of America,2015,2610000,Bank of America,Forbes Tate Partners,80000," Jerry ""Jay"" Driscoll ",1,0,1,17,0
Bank of America,2016,2280000,Bank of America,Bank of America,2280000, Edward Jeffrey Hill ,0,0,1,18,0
Bank of America,2016,2280000,Bank of America,Bank of America,2280000, James F Carlisle ,0,0,1,18,0
Bank of America,2016,2280000,Bank of America,Smith-Free Group,240000, Trevor Kolego ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Smith-Free Group,240000, W Timothy Locke ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000, Libby Greer ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Bank of America,2280000, John E Collingwood ,0,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000, Jeff Strunk ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000," Jerry ""Jay"" Driscoll ",1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000, Franklyn Steinberg ,0,0,1,18,0
Bank of America,2016,2280000,Bank of America,Smith-Free Group,240000, Summer Mersinger ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Smith-Free Group,240000, Andrew H Barbour ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Bank of America,2280000, Darrell Minott ,0,0,1,18,0
Bank of America,2016,2280000,Bank of America,Smith-Free Group,240000, James C Free ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000, Jeff Forbes ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Smith-Free Group,240000, Jon S Deuser ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000, Dan C Jr Tate ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000, Rachel D Miller ,1,0,1,18,0
Bank of America,2016,2280000,Bank of America,Forbes Tate Partners,200000, Wesley Ryan Welch ,1,0,1,18,0
Bank of America,2017,2480000,Bank of America,Cleary Gottlieb et al,40000, James Duncan ,0,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000, Jeff Forbes ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Smith-Free Group,240000, Trevor Kolego ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000, Libby Greer ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Bank of America,2480000, John E Collingwood ,0,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000, Dan C Jr Tate ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000, Wesley Ryan Welch ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000, Franklyn Steinberg ,0,0,1,19,0
Bank of America,2017,2480000,Bank of America,Smith-Free Group,240000, Andrew H Barbour ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000," Jerry ""Jay"" Driscoll ",1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Smith-Free Group,240000, James C Free ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000, Jeff Strunk ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Bank of America,2480000, James F Carlisle ,0,0,1,19,0
Bank of America,2017,2480000,Bank of America,Bank of America,2480000, Edward Jeffrey Hill ,0,0,1,19,0
Bank of America,2017,2480000,Bank of America,Smith-Free Group,240000, Jon S Deuser ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Forbes Tate Partners,240000, Rachel D Miller ,1,0,1,19,0
Bank of America,2017,2480000,Bank of America,Bank of America,2480000, Darrell Minott ,0,0,1,19,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Franklyn Steinberg ,0,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Cindy S Brown ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Wesley Ryan Welch ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Bank of America,2790000, John E Collingwood ,0,0,1,20,0
Bank of America,2018,2790000,Bank of America,Bank of America,2790000, Edward Jeffrey Hill ,0,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Libby Greer ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Dan C Jr Tate ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Smith-Free Group,240000, Jon S Deuser ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Jeff Forbes ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Jeff Strunk ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Smith-Free Group,240000, Summer Mersinger ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Adrienne Schweer ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Smith-Free Group,240000, James C Free ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Rachel D Miller ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000," Jerry ""Jay"" Driscoll ",1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Bank of America,2790000, Darrell Minott ,0,0,1,20,0
Bank of America,2018,2790000,Bank of America,Forbes Tate Partners,240000, Rick B Murphy ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Bank of America,2790000, James F Carlisle ,0,0,1,20,0
Bank of America,2018,2790000,Bank of America,Smith-Free Group,240000, Trevor Kolego ,1,0,1,20,0
Bank of America,2018,2790000,Bank of America,Smith-Free Group,240000, Andrew H Barbour ,1,0,1,20,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Dan C Jr Tate ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Jeff Sadosky ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Libby Greer ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Smith-Free Group,240000, Summer Mersinger ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Cindy S Brown ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Adrienne Schweer ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Smith-Free Group,240000, Jon S Deuser ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Kelley Williams ,0,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Wesley Ryan Welch ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Rachel D Miller ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000," Jerry ""Jay"" Driscoll ",1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Bank of America,1930000, Darrell Minott ,0,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Francesca Mccrary ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Rick B Murphy ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Bank of America,1930000, James F Carlisle ,0,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Franklyn Steinberg ,0,0,1,21,0
Bank of America,2019,1930000,Bank of America,Smith-Free Group,240000, Andrew H Barbour ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Jeff Strunk ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Bank of America,1930000, Edward Jeffrey Hill ,0,0,1,21,0
Bank of America,2019,1930000,Bank of America,Smith-Free Group,240000, James C Free ,1,0,1,21,0
Bank of America,2019,1930000,Bank of America,Forbes Tate Partners,240000, Jeff Forbes ,1,0,1,21,0
Bank of Beirut,2017,150000,Bank of Beirut,Avenue Strategies Global,150000, Ed Brookover ,0,0,1,0,0
Bank of Beirut,2017,150000,Bank of Beirut,Avenue Strategies Global,150000, Bud Cummins ,0,0,1,0,0
Bank of Beirut,2017,150000,Bank of Beirut,Avenue Strategies Global,150000, Barry Bennett ,1,0,1,0,0
Bank of Beirut,2018,70000,Bank of Beirut,Avenue Strategies Global,70000, Barry Bennett ,1,0,1,1,0
Bank of Beirut,2018,70000,Bank of Beirut,Avenue Strategies Global,70000, Ed Brookover ,0,0,1,1,0
Bank of Beirut,2018,70000,Bank of Beirut,Avenue Strategies Global,70000, Bud Cummins ,0,0,1,1,0
Bank of Bonify,2010,20000,Bank of Bonify,Raben Group,20000, Lawrence Gonzalez ,0,0,1,0,0
Bank of Bonify,2010,20000,Bank of Bonify,Raben Group,20000, Kimberly Goulart ,0,0,1,0,0
Bank of Montreal,2015,190000,BMO Financial Corp,Podesta Group,190000, Randall Gerard ,1,0,1,7,0
Bank of Montreal,2015,190000,BMO Financial Corp,Podesta Group,190000, Izzy Klein ,1,0,1,7,0
Bank of Montreal,2015,190000,BMO Financial Corp,Podesta Group,190000, Andrew Lewin ,1,0,1,7,0
Bank of Montreal,2015,190000,BMO Financial Corp,Podesta Group,190000, Michael Quaranta ,1,0,1,7,0
Bank of Montreal,2015,190000,BMO Financial Corp,Podesta Group,190000, Tony Podesta ,1,0,1,7,0
Bank of Montreal,2015,190000,BMO Financial Corp,Podesta Group,190000, Andrew Kauders ,1,0,1,7,0
Bank of Montreal,2016,1040000,BMO Financial Corp,Podesta Group,360000, Tony Podesta ,1,0,1,8,0
Bank of Montreal,2016,1040000,BMO Harris Bank,BMO Harris Bank,680000, Mary Kenney ,0,0,1,8,0
Bank of Montreal,2016,1040000,BMO Harris Bank,BMO Harris Bank,680000, Ashley Ellefritz ,1,0,1,8,0
Bank of Montreal,2016,1040000,BMO Financial Corp,Podesta Group,360000, Michael Quaranta ,1,0,1,8,0
Bank of Montreal,2016,1040000,BMO Financial Corp,Podesta Group,360000, Andrew Lewin ,1,0,1,8,0
Bank of Montreal,2016,1040000,BMO Financial Corp,Podesta Group,360000, Randall Gerard ,1,0,1,8,0
Bank of Montreal,2017,1125000,BMO Financial Corp,Steptoe & Johnson,35000, Philip R West ,1,0,1,9,0
Bank of Montreal,2017,1125000,BMO Financial Corp,Podesta Group,330000, Randall Gerard ,1,0,1,9,0
Bank of Montreal,2017,1125000,BMO Financial Corp,Podesta Group,330000, Andrew Lewin ,1,0,1,9,0
Bank of Montreal,2017,1125000,BMO Financial Corp,Podesta Group,330000, Paul Brathwaite ,1,0,1,9,0
Bank of Montreal,2017,1125000,BMO Harris Bank,BMO Harris Bank,760000, Mary Kenney ,0,0,1,9,0
Bank of Montreal,2017,1125000,BMO Financial Corp,Podesta Group,330000, Tony Podesta ,1,0,1,9,0
Bank of Montreal,2017,1125000,BMO Financial Corp,Podesta Group,330000, Anna K Weinstein ,0,0,1,9,0
Bank of Montreal,2017,1125000,BMO Financial Corp,Podesta Group,330000, Michael Quaranta ,1,0,1,9,0
Bank of Montreal,2017,1125000,BMO Harris Bank,BMO Harris Bank,760000, Ashley Ellefritz ,1,0,1,9,0
Bank of Montreal,2018,820000,BMO Financial Corp,Eris Group,120000, Doyle Bartlett ,1,0,1,10,0
Bank of Montreal,2018,820000,BMO Harris Bank,BMO Harris Bank,700000, Mary Kenney ,0,0,1,10,0
Bank of Montreal,2018,820000,BMO Harris Bank,Venable LLP,130000, Joshua H Raymond ,1,0,1,10,0
Bank of Montreal,2018,820000,BMO Harris Bank,BMO Harris Bank,700000, Ashley Ellefritz ,1,0,1,10,0
Bank of Montreal,2018,820000,BMO Financial Corp,Eris Group,120000, Travis Johnson ,1,0,1,10,0
Bank of Montreal,2018,820000,BMO Harris Bank,Venable LLP,130000, Jeffrey L Stoltzfoos ,1,0,1,10,0
Bank of Montreal,2019,1035000,BMO Financial Corp,GrayRobinson PA,130000, Travis Johnson ,1,0,1,11,1
Bank of Montreal,2019,1035000,BMO Financial Corp,GrayRobinson PA,130000, Doyle Bartlett ,1,0,1,11,1
Bank of Montreal,2019,1035000,BMO Harris Bank,BMO Harris Bank,860000, Mary Kenney ,0,0,1,11,1
Bank of Montreal,2019,1035000,BMO Harris Bank,BMO Harris Bank,860000, Ashley Ellefritz ,1,0,1,11,1
Bank of Montreal,2019,1035000,BMO Financial Corp,Eris Group,15000, Travis Johnson ,1,0,1,11,1
Bank of Montreal,2019,1035000,BMO Financial Corp,1607 Strategies,30000, Travis Johnson ,1,0,1,11,1
Bank of Montreal,2019,1035000,BMO Financial Corp,Eris Group,15000, Doyle Bartlett ,1,0,1,11,1
Bank of Montreal,2019,1035000,BMO Harris Bank,Venable LLP,200000, Jeffrey L Stoltzfoos ,1,0,1,11,1
Bank of Montreal,2019,1035000,BMO Harris Bank,Venable LLP,200000, Joshua H Raymond ,1,0,1,11,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Dwight Fettig ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Raben Group,360000, Courtney Snowden ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Lendell W Porterfield ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Smith-Free Group,60000, James E Smith ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Barnes & Thornburg,135000, Britta Gustafson ,0,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Duberstein Group,200000, Daniel Meyer ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Dawn Callaghan ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Capitol Tax Partners,150000, Jonathan Talisman ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Duberstein Group,200000, Steven M Champlin ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Capitol Tax Partners,150000, Lindsay D Hooper ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Kirsten T Johnson-Obey ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Brendon Weiss ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Duberstein Group,200000, Michael S Berman ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Barnes & Thornburg,135000, Craig S Burkhardt ,0,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Duberstein Group,200000, Eric Ueland ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Capitol Tax Partners,150000, Chris L Javens ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Duberstein Group,200000, Kenneth M Duberstein ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Raben Group,360000, Meaghan Hohl Taborda ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Duberstein Group,200000, Brian Griffin ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Duberstein Group,200000, Marti Thomas ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Capitol Tax Partners,150000, Lawrence G Willcox ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Capitol Tax Partners,150000, Joseph Mikrut ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Capitol Tax Partners,150000, William McKenney ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Barnes & Thornburg,135000, Richard R Boykin ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Bank of New York Mellon,Capitol Tax Partners,150000, Richard Grafmeyer ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Andrew Lowenthal ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Raben Group,360000, Mark Glaze ,1,0,1,0,1
Bank of New York Mellon,2009,640000,Promontory Interfinancial Network,Raben Group,360000, Robert Raben ,1,0,1,0,1
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Duberstein Group,400000, Marti Thomas ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Lendell W Porterfield ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Duberstein Group,400000, Kenneth M Duberstein ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Duberstein Group,400000, Eric Ueland ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Dawn Callaghan ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Kirsten T Johnson-Obey ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Capitol Tax Partners,240000, Lawrence G Willcox ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Capitol Tax Partners,240000, Joseph Mikrut ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Capitol Tax Partners,240000, William McKenney ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Raben Group,360000, Mark Glaze ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Capitol Tax Partners,240000, Chris L Javens ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Bank of New York Mellon,1400000, Ann S Costello ,0,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Raben Group,360000, Courtney Snowden ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Raben Group,360000, Robert Raben ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Bank of New York Mellon,1400000, Robert Getzoff ,0,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Capitol Tax Partners,240000, Lindsay D Hooper ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Duberstein Group,400000, Brian Griffin ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Duberstein Group,400000, Michael S Berman ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Dwight Fettig ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Duberstein Group,400000, Steven M Champlin ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Brendon Weiss ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Capitol Tax Partners,240000, Richard Grafmeyer ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Capitol Tax Partners,240000, Jonathan Talisman ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Bank of New York Mellon,Duberstein Group,400000, Daniel Meyer ,1,0,1,1,0
Bank of New York Mellon,2010,640000,Promontory Interfinancial Network,Porterfield Lowenthal & Fettig,280000, Andrew Lowenthal ,1,0,1,1,0
Barclays,2008,2370000,Converteam Inc,Brown & Co,100000, Lindsey Ledwin ,1,0,1,10,1
Barclays,2008,2370000,Barclays Global Investors,Rich Feuer Group,180000, Peter D Rich ,1,0,1,10,1
Barclays,2008,2370000,Barclays,Barclays,2370000, Joanne Medero ,1,0,1,10,1
Barclays,2008,2370000,Barclays,Sullivan & Cromwell,10000, Samuel R III Woodall ,1,0,1,10,1
Barclays,2008,2370000,Barclays,Rich Feuer Group,110000, Mitchell L Feuer ,1,0,1,10,1
Barclays,2008,2370000,Converteam Inc,Brown & Co,100000, Jane Q Calderwood ,1,0,1,10,1
Barclays,2008,2370000,Barclays,Barclays,2370000, Marlene Nicholson ,0,0,1,10,1
Barclays,2008,2370000,Barclays,Rich Feuer Group,110000, Peter D Rich ,1,0,1,10,1
Barclays,2008,2370000,Barclays Global Investors,Rich Feuer Group,180000, Mitchell L Feuer ,1,0,1,10,1
Barclays,2008,2370000,Barclays,Barclays,2370000, Kathryn Fulton ,1,0,1,10,1
Barclays,2008,2370000,Barclays,Rich Feuer Group,110000, Michael D Thompson ,1,0,1,10,1
Barclays,2008,2370000,Barclays,Mayer Brown et al,70000, Robert E Glennon ,0,0,1,10,1
Barclays,2008,2370000,Barclays Global Investors,Rich Feuer Group,180000, Michael D Thompson ,1,0,1,10,1
Barclays,2008,2370000,Converteam Inc,Brown & Co,100000, Cynthia L Brown ,0,0,1,10,1
Barclays,2009,2360000,Barclays,Barclays,2360000, Joanne Medero ,1,0,1,11,1
Barclays,2009,2360000,Barclays,Rich Feuer Group,130000, Mitchell L Feuer ,1,0,1,11,1
Barclays,2009,2360000,Barclays,Cleary Gottlieb et al,40000, Edward J Rosen ,0,0,1,11,1
Barclays,2009,2360000,Barclays,Sullivan & Cromwell,10000, Samuel R III Woodall ,1,0,1,11,1
Barclays,2009,2360000,Barclays,Barclays,2360000, Marlene Nicholson ,0,0,1,11,1
Barclays,2009,2360000,Barclays,Steptoe & Johnson,10000, Philip R West ,1,0,1,11,1
Barclays,2009,2360000,Barclays,Rich Feuer Group,130000, Peter D Rich ,1,0,1,11,1
Barclays,2009,2360000,Barclays Capital,Hogan & Hartson,70000, Robert E Glennon ,0,0,1,11,1
Barclays,2009,2360000,Barclays,Barclays,2360000, Patrick Durkin ,0,0,1,11,1
Barclays,2009,2360000,Barclays Capital,Cleary Gottlieb et al,40000, Edward J Rosen ,0,0,1,11,1
Barclays,2009,2360000,Converteam Inc,Brown & Co,120000, Cynthia L Brown ,0,0,1,11,1
Barclays,2009,2360000,Barclays,Steptoe & Johnson,10000, Amanda P Varma ,0,0,1,11,1
Barclays,2009,2360000,Barclays,Mayer Brown LLP,60000, Robert E Glennon ,0,0,1,11,1
Barclays,2009,2360000,Converteam Inc,Brown & Co,120000, Justin Ackley ,0,0,1,11,1
Barclays,2009,2360000,Barclays,Barclays,2360000, Kathryn Fulton ,1,0,1,11,1
Barclays,2009,2360000,Barclays,Rich Feuer Group,130000, Michael D Thompson ,1,0,1,11,1
Barclays,2009,2360000,Converteam Inc,Brown & Co,120000, Mike Cosio ,1,0,1,11,1
Barclays,2010,3840000,Barclays,Steptoe & Johnson,50000, Amanda P Varma ,0,0,1,12,0
Barclays,2010,3840000,Converteam Inc,LNE Group,27500, Justin R McCaulley ,0,0,1,12,0
Barclays,2010,3840000,Barclays Capital,Cleary Gottlieb et al,80000, Laura Klimpel ,0,0,1,12,0
Barclays,2010,3840000,Barclays,Rich Feuer Group,120000, Robert E Griner ,1,0,1,12,0
Barclays,2010,3840000,Barclays Capital,Hogan Lovells,170000, Robert E Glennon ,0,0,1,12,0
Barclays,2010,3840000,Converteam Inc,LNE Group,27500, Lee C Weingart ,0,0,1,12,0
Barclays,2010,3840000,Barclays,Hogan Lovells,60000, Robert E Glennon ,0,0,1,12,0
Barclays,2010,3840000,Barclays,Barclays,3840000, Dragana Zivanovic ,0,0,1,12,0
Barclays,2010,3840000,Barclays,Steptoe & Johnson,50000, Philip R West ,1,0,1,12,0
Barclays,2010,3840000,Barclays Capital,Cleary Gottlieb et al,80000, Colin Lloyd ,0,0,1,12,0
Barclays,2010,3840000,Converteam Inc,LNE Group,27500, Paul Vincent ,0,0,1,12,0
Barclays,2010,3840000,Converteam Inc,Brown & Co,100000, Cynthia L Brown ,0,0,1,12,0
Barclays,2010,3840000,Barclays,Rich Feuer Group,120000, Tara Wade Foscato ,1,0,1,12,0
Barclays,2010,3840000,Converteam Inc,LNE Group,27500, Kyla Kamis ,0,0,1,12,0
Barclays,2010,3840000,Barclays,Rich Feuer Group,120000, Peter D Rich ,1,0,1,12,0
Barclays,2010,3840000,Barclays,Barclays,3840000, Patrick Durkin ,0,0,1,12,0
Barclays,2010,3840000,Converteam Inc,LNE Group,27500, Bevin Murphy ,0,0,1,12,0
Barclays,2010,3840000,Barclays,Rich Feuer Group,120000, Mitchell L Feuer ,1,0,1,12,0
Barclays,2010,3840000,Barclays,Sullivan & Cromwell,0, Samuel R III Woodall ,1,0,1,12,0
Barclays,2010,3840000,Converteam Inc,Brown & Co,100000, Mike Cosio ,1,0,1,12,0
Barclays,2010,3840000,Barclays,Barclays,3840000, Marlene Nicholson ,0,0,1,12,0
Barclays,2010,3840000,Converteam Inc,Brown & Co,100000, Justin Ackley ,0,0,1,12,0
Barclays,2010,3840000,Barclays Capital,Cleary Gottlieb et al,80000, Edward J Rosen ,0,0,1,12,0
Barclays,2011,2520000,Barclays Capital,Ernst & Young,280000, Nick D Giordano ,1,0,1,13,1
Barclays,2011,2520000,Barclays,Rich Feuer Group,120000, Mitchell L Feuer ,1,0,1,13,1
Barclays,2011,2520000,Barclays,Rich Feuer Group,120000, Robert E Griner ,1,0,1,13,1
Barclays,2011,2520000,Barclays Capital,Ernst & Young,280000, Jeff Levey ,0,0,1,13,1
Barclays,2011,2520000,Barclays Capital,Hogan Lovells,30000, Robert E Glennon ,0,0,1,13,1
Barclays,2011,2520000,Barclays,Barclays,2480000, Allison Parent ,1,0,1,13,1
Barclays,2011,2520000,Barclays,Rich Feuer Group,120000, Tara Wade Foscato ,1,0,1,13,1
Barclays,2011,2520000,Barclays,Rich Feuer Group,120000, Peter D Rich ,1,0,1,13,1
Barclays,2011,2520000,Barclays Capital,Ernst & Young,280000, John D Porter ,1,0,1,13,1
Barclays,2011,2520000,Barclays,Barclays,2480000, Patrick Durkin ,0,0,1,13,1
Barclays,2012,440000,Barclays,Rich Feuer Anderson,120000, John A Anderson ,1,0,1,14,0
Barclays,2012,440000,Barclays,Rich Feuer Anderson,120000, Tara Wade Foscato ,1,0,1,14,0
Barclays,2012,440000,Barclays,Barclays,440000, Patrick Durkin ,0,0,1,14,0
Barclays,2012,440000,Barclays Capital,Ernst & Young,240000, Jeff Levey ,0,0,1,14,0
Barclays,2012,440000,Barclays,Barclays,440000, Allison Parent ,1,0,1,14,0
Barclays,2012,440000,Barclays,Rich Feuer Anderson,120000, Mitchell L Feuer ,1,0,1,14,0
Barclays,2012,440000,Barclays Capital,Ernst & Young,240000, Nick D Giordano ,1,0,1,14,0
Barclays,2012,440000,Barclays,Rich Feuer Anderson,120000, Peter D Rich ,1,0,1,14,0
